% This dataset is taken from the Penn Machine Learning Benchmark.
% This ARFF is automatically generated.
% The data types of attributes are inferred from the data.
% In particular this means there is some uncertainty as to whether an attribute truly is categorical, numerical or ordinal.

@RELATION connect-4
@ATTRIBUTE a1 {0,1,2}
@ATTRIBUTE a2 {0,1,2}
@ATTRIBUTE a3 {0,1,2}
@ATTRIBUTE a4 {0,1,2}
@ATTRIBUTE a5 {0,1,2}
@ATTRIBUTE a6 {0,1,2}
@ATTRIBUTE b1 {0,1,2}
@ATTRIBUTE b2 {0,1,2}
@ATTRIBUTE b3 {0,1,2}
@ATTRIBUTE b4 {0,1,2}
@ATTRIBUTE b5 {0,1,2}
@ATTRIBUTE b6 {0,1,2}
@ATTRIBUTE c1 {0,1,2}
@ATTRIBUTE c2 {0,1,2}
@ATTRIBUTE c3 {0,1,2}
@ATTRIBUTE c4 {0,1,2}
@ATTRIBUTE c5 {0,1,2}
@ATTRIBUTE c6 {0,1,2}
@ATTRIBUTE d1 {0,1,2}
@ATTRIBUTE d2 {0,1,2}
@ATTRIBUTE d3 {0,1,2}
@ATTRIBUTE d4 {0,1,2}
@ATTRIBUTE d5 {0,1,2}
@ATTRIBUTE d6 {0,1,2}
@ATTRIBUTE e1 {0,1,2}
@ATTRIBUTE e2 {0,1,2}
@ATTRIBUTE e3 {0,1,2}
@ATTRIBUTE e4 {0,1,2}
@ATTRIBUTE e5 {0,1,2}
@ATTRIBUTE e6 {0,1,2}
@ATTRIBUTE f1 {0,1,2}
@ATTRIBUTE f2 {0,1,2}
@ATTRIBUTE f3 {0,1,2}
@ATTRIBUTE f4 {0,1,2}
@ATTRIBUTE f5 {0,1,2}
@ATTRIBUTE f6 {0,1,2}
@ATTRIBUTE g1 {0,1,2}
@ATTRIBUTE g2 {0,1,2}
@ATTRIBUTE g3 {0,1,2}
@ATTRIBUTE g4 {0,1,2}
@ATTRIBUTE g5 {0,1,2}
@ATTRIBUTE g6 {0,1,2}
@ATTRIBUTE class {0,1,2}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
